path,workerID,user_text,ai_suggestion,tone_similarity,pos_similarity,coherence_score,ai_coverage,acceptance_status,syn_similarity
./coauthor-v1.0/74517c6eb89c46fab708de3e3d7c53db.jsonl,A2WGW5Y3ZFBDEC,"has caused the people it was given to, which is the overwhelming majority of humanity at this point, and all of those young enough to reproduce, to","The story follows the life of a young man who is part of the Lost Generations, and his struggles to survive in a world that has turned",0.744450775544565,0.8850794148547423,0.2269313931465149,0.8571428571428571,accepted,0.7333333333333333
./coauthor-v1.0/74517c6eb89c46fab708de3e3d7c53db.jsonl,A2WGW5Y3ZFBDEC,"The only way to keep the species going is to create a new generation of humans, but the only way to do that is to","aging group of people, who are now in their 90s and are starting to die off.",0.844631095880309,0.699395052279782,0.1790446937084198,0.8333333333333334,rejected,1.0
./coauthor-v1.0/74517c6eb89c46fab708de3e3d7c53db.jsonl,A2WGW5Y3ZFBDEC,"to develop a long-delayed, fatal, incidence, and within a week, every human on the planet other than the ""","The aliens have been watching Earth for years, and have decided that the best way to prepare for an invasion is to infiltrate the human race.",0.4783090179411057,0.7625356871368733,0.2967331707477569,0.9642857142857144,accepted,0.6
./coauthor-v1.0/74517c6eb89c46fab708de3e3d7c53db.jsonl,A2WGW5Y3ZFBDEC,"aging group of people, who are now in their 90s and are s,  and are increasingly infirm.

Creating new life seems simple enough;",the new generation of humans is still children.,0.3782661323077231,0.7578647467450733,0.445726990699768,0.0,rejected,0.9666666666666666
./coauthor-v1.0/74517c6eb89c46fab708de3e3d7c53db.jsonl,A2WGW5Y3ZFBDEC,"cloning, or using egg and sperm still stored in",you have one last wish: to see the new world that your generation has created.,0.606758897604531,0.6425396041156862,0.1820384860038757,0.6470588235294118,rejected,0.9333333333333332
./coauthor-v1.0/91e0856327a04acb8f366faea281f072.jsonl,AZCGF2D7QIO10,not keeping up with the news does not make you a bad person. Now keeping up with the news does make you slightly better but doesn't mwan that you are bad.e if you dont ' I think some people don't want to know what is going on and wants to keep up with their own lives and focus on that. And I don't think that is a bad thing at all.,"But in the end, it isn't your responsibility and you shouldn't feel bad if you don't live politically.",0.6947570186020774,0.9054005841798892,0.3373493552207947,0.75,rejected,0.9333333333333332
./coauthor-v1.0/91e0856327a04acb8f366faea281f072.jsonl,AZCGF2D7QIO10,As long as they aren't doing anything harmful then they are a perfectly fine citizen in my book. I think a lot of us anyways see what happens on the news and don't do anything different anyways. Which I feel is the same as not knowing what is happenign at all. g,And that doesn't do good as a country to have people rely on one station for all their information.,0.722511134119354,0.7198574132788711,0.2677743136882782,0.3,rejected,0.8166666666666667
./coauthor-v1.0/91e0856327a04acb8f366faea281f072.jsonl,AZCGF2D7QIO10,I do think it is good to be informed though. I wouldn't go as far as to say we have a resonsibility to know what is going onp as citizens but it isn't bad at all to watch the news. Not only would it make you informed but also may make you do something like donate to a group.,But doing so does not make you a good citizen.,0.6579498962042418,0.9088138889597882,0.272452175617218,1.0,accepted,0.711111111111111
./coauthor-v1.0/128bac319cb14dadaaf5c30c3a8ac5cb.jsonl,A345TDMHP3DQ3G,"else would you get married to?"" You have never once in your life considered that you would ever marry the King of the bees, and this news shocks you now.","I don't want to get married!"" you say.",0.2459622318087281,0.6611796049072863,0.5131893157958984,0.6363636363636364,accepted,0.7666666666666666
./coauthor-v1.0/128bac319cb14dadaaf5c30c3a8ac5cb.jsonl,A345TDMHP3DQ3G,that you should go home and get some rest. He says the day has been a total success. You get home and see your mom.,I hired Mikey to help you get back out there and find a man.,0.7018633911305909,0.8019732503175676,0.1728796064853668,0.7333333333333333,accepted,0.8777777777777778
./coauthor-v1.0/128bac319cb14dadaaf5c30c3a8ac5cb.jsonl,A345TDMHP3DQ3G,She asks you how the wedding planning went.,You've been so sad since your last boyfriend left you.,0.2143091616693353,0.6605782590758164,0.1161860600113868,0.0,accepted,0.8333333333333333
./coauthor-v1.0/128bac319cb14dadaaf5c30c3a8ac5cb.jsonl,A345TDMHP3DQ3G,"""I'm not getting married to the King of the bees!"" you say.",I thought you needed a push in the right direction.,0.3721331720669486,0.7920300007249499,0.1211456507444381,1.0,accepted,0.8166666666666667
