path,user_text,ai_suggestion,acceptance_status,user_score,ai_score,coverage
./coauthor-v1.0/608e5b73341a4f3ca937316f99dae32d.jsonl,it is the responsibility of a good citizen to keep up with the news.,I think it is important to know what is going on in the world because it can affect us.,accepted,0.16666666666666666,0.5333333333333333,1.0
./coauthor-v1.0/608e5b73341a4f3ca937316f99dae32d.jsonl,"I think it is important to know what is going on in the world because it can affect us.  For example, there are many pieces of legislation that are passed that can have bad current and future affects on the population.  Due to people not keeping up with the news, the public isn't aware of the effects of the legislation until it is too late.  There are many instance where the public iecomes aware of a bad bill and they are able to apply pressure to their government representatives to make changes.","For example, the Stop Online Piracy Act (SOPA) was a bill that would have allowed the government to shut down websites that were suspected",accepted,0.5750000000000001,0.7000000000000001,0.9629629629629629
./coauthor-v1.0/2d9358657a364ccab47e9a7538cb6650.jsonl,"Morgan woke up that morning, listening to the sounds of the bunker as she drifted back into consciousness.","The rush of water, the hum of the lights and the sound of her father's voice.",accepted,0.5333333333333333,0.19999999999999998,1.0
./coauthor-v1.0/2d9358657a364ccab47e9a7538cb6650.jsonl,"The steady hum of the power generators, the quiet conversation of her fellow survivors, and a familiar loping thump as Herman ran by outside. It seemed like just any other day. But she knew it wasn't. It was time.","With a heavy sigh, Morgan pushed herself up.",accepted,0.21666666666666667,0.09999999999999999,0.0
./coauthor-v1.0/2d9358657a364ccab47e9a7538cb6650.jsonl,"She got up and opened her door, which was something of a minor accomplishment these days.
 The last battle for New York...hadn't gone well. Down a leg, hand, end eya, as well as most of her friends, family, and, well, most of the human population. She didn't often bother, and when she did she felt like she was just in the way.",Even the impromptu prosthetics Morgan had rigged up herself were more trouble than they were worth.,accepted,0.30833333333333335,0.43333333333333335,0.47058823529411764
./coauthor-v1.0/2d9358657a364ccab47e9a7538cb6650.jsonl,"Even the impromptu prosthetics Morgan had rigged up herself were more trouble than they were worth. But last week they have found something, and today was the day she would be allowed to try it out.

It had started with a supply party, just out looking for anything edible. But one of the kids - even kids played their part - stumbled onto an oddly shaped stone. And he said he felt something.","Morgan didn't believe him at first, but then remembered some of the old stories she'd heard as a child.",accepted,0.3,0.26666666666666666,0.9523809523809523
./coauthor-v1.0/2d9358657a364ccab47e9a7538cb6650.jsonl,"Something he said was like a really strong tingle, but didn't hurt. And then an alien scout ship found them, and they thought they were all going to die. Right up to the moment the kid suddenly shot...something from his palms and blew the aliends all straight to hell.","From there it was a mad dash back to the bunker, followed by days of hushed talk and whispered rumors.",accepted,0.27777777777777773,0.3666666666666667,0.6363636363636364
./coauthor-v1.0/2d9358657a364ccab47e9a7538cb6650.jsonl,"From there it was a mad dash back to the bunker, followed by days of hushed talk and whispered rumors.
 The kid could do things now, but he had almost no control over them. And peopel started talking about the old books, how all the little tricks people could do - light a candle, make a gift invisible, etc. - used to be real poeople So other peopel started touching the stone,.",And they started feeling things too.,accepted,0.3666666666666667,0.06666666666666667,0.0
./coauthor-v1.0/2d9358657a364ccab47e9a7538cb6650.jsonl,"But it what way? Before...she was always a bit strongr with her trickse, almost powerful by t standards.",Was she about to become...something else?,rejected,0.13333333333333333,0.13333333333333333,0.0
./coauthor-v1.0/2d9358657a364ccab47e9a7538cb6650.jsonl,"But now...it as her missing hand that had held her power before, so what would happen?","She walked across the crowded common room, her metal leg making a loud clanking sound as she went.",accepted,0.19999999999999998,0.43333333333333335,0.3
